stopplacecode,stopplacetype,validfrom,publicname,street,town,stopplaceindication,stopplacestatus,quaycode,quayname,quaytype,quaystatus,rd-x,rd-y,level,location,visuallyaccessible,disabledaccessible-tram,disabledaccessible-bus,disabledaccessible-metro,disabledaccessible-ferry,quayshapetype,baylength,embaymentwidth,bayentranceangles,bayexitangles,markedkerb,lift,guidelines,groundsurfaceindicator,tactilegroundsurfaceindicator,stopplaceaccessroute,kerbheight,boardingpositionwidth,alightingpositionwidth,liftedpartlength,narrowestpassagewidth,fulllengthguideline,guidelinestopplaceconnection,ramp,ramplength,rampwidth,heightwithenvironment,stopsign,audiobutton,stopsigntype,shelter,shelterpublicity,illuminatedstop,seatavailable,leantosupport,timetableinformation,infounit,routenetworkmap,passengerinformationdisplay,passengerinformationdisplaytype,bicycleparking,numberofbicycleplaces,bins,ovccico,ovccharging,remarks,mutationdate,stopplace_mutationdate,quay_mutationdate
NL:S:58420170,onstreetBus,2014-07-31T15:48:00Z,"Homeruskwartier West",Iliasstraat,"Almere Poort",,adapted,NL:Q:58420170,"Homeruskwartier West",regular,available,138756,485352,0,,Y,,Y,,,langshalte,36.30,,,,true,false,true,true,true,true,0.18,4.50,4.50,36.30,2.80,true,false,true,3.00,4.30,0.20,true,false,,true,false,true,true,,true,false,false,false,,false,,true,false,false,,2015-05-04T14:28:46Z,2015-05-03T22:04:24Z,2015-05-03T23:50:25Z
NL:S:58420170,onstreetBus,2014-07-31T15:56:00Z,"Homeruskwartier West",Iliasstraat,"Almere Poort",,adapted,NL:Q:58420180,"Homeruskwartier West",regular,available,138688,485326,0,,Y,,Y,,,langshalte,36.30,,,,true,false,true,true,true,true,0.18,3.50,3.50,36.30,1.80,true,false,true,3.00,3.50,0.30,true,false,,true,false,true,true,,true,false,true,false,,false,,true,false,false,,2015-05-04T14:28:46Z,2015-05-03T22:04:24Z,2015-05-03T23:50:25Z
NL:S:58610110,onstreetBus,2014-10-01T14:43:00Z,"De Kemphaan",Waterlandseweg,"Almere Hout",,adapted,NL:Q:58610110,"De Kemphaan",regular,available,146646,483795,0,,N,,Y,,,haltehaven,18.00,4.20,31.00,17.50,true,false,false,false,false,true,0.18,4.70,4.70,18.00,2.40,false,false,false,,,0.00,true,false,,true,false,true,true,,true,false,true,false,,true,2,true,false,false,,2015-05-04T14:28:47Z,2015-05-03T22:04:25Z,2015-05-03T23:50:50Z
NL:S:58610110,onstreetBus,2014-10-01T14:35:00Z,"De Kemphaan",Waterlandseweg,"Almere Hout",,adapted,NL:Q:58610120,"De Kemphaan",regular,available,146627,483798,0,,N,,Y,,,haltehaven,18.00,3.60,31.00,17.00,true,false,false,false,false,true,0.17,6.40,6.40,18.00,2.20,false,false,false,,,0.00,true,false,,true,false,true,true,,true,false,true,false,,true,4,true,false,false,,2015-05-04T14:28:48Z,2015-05-03T22:04:25Z,2015-05-03T23:50:50Z
NL:S:58610170,onstreetBus,2014-12-14T00:00:00Z,Vinkweg,"Hendrik Lorentzweg","Almere Hout",,adapted,NL:Q:58610170,Vinkweg,regular,available,147569,485595,0,,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-05-03T23:50:51Z,2015-05-03T22:04:25Z,2015-05-03T23:50:51Z
NL:S:58610170,onstreetBus,2014-12-14T00:00:00Z,Vinkweg,"Hendrik Lorentzweg","Almere Hout",,adapted,NL:Q:58610180,Vinkweg,regular,available,147597,485609,0,,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-05-03T23:50:51Z,2015-05-03T22:04:25Z,2015-05-03T23:50:51Z
NL:S:58620020,onstreetBus,2018-11-15T01:00:00Z,"De Steiger","OPENBAAR VERVOERBAAN","Almere Haven",,adapted,NL:Q:58620020,"De Steiger",regular,available,143800,484639,0,,N,,N,,,unknown,0.00,,,,false,false,false,false,false,false,,,,,,false,false,false,,,,false,false,,false,false,false,false,false,false,false,false,false,,false,,false,false,false,,2018-11-20T09:55:06Z,2015-05-03T22:04:25Z,2018-11-20T09:55:06Z
NL:S:58620020,onstreetBus,2014-07-29T14:06:00Z,"De Steiger","De Steiger","Almere Haven",,adapted,NL:Q:58620030,"De Steiger",regular,available,143794,484600,0,,Y,,Y,,,langshalte,32.00,,,,true,false,true,true,true,true,0.18,4.20,4.20,32.00,2.00,true,true,true,1.60,3.00,0.00,true,true,,true,false,true,true,,true,false,true,true,4,false,,true,false,false,,2015-05-04T14:28:48Z,2015-05-03T22:04:25Z,2015-05-03T23:50:52Z
NL:S:58620020,onstreetBus,2014-07-29T14:08:00Z,"De Steiger","OPENBAAR VERVOERBAAN","Almere Haven",,adapted,NL:Q:58620040,"De Steiger",regular,available,143824,484634,0,,Y,,Y,,,langshalte,17.40,,,,true,false,true,true,true,true,0.18,3.70,3.70,17.40,2.10,true,false,false,,,0.00,true,true,,true,false,true,true,,true,false,true,true,4,false,,true,false,false,,2015-05-04T14:28:48Z,2015-05-03T22:04:25Z,2015-05-03T23:50:52Z
NL:S:58620020,onstreetBus,2014-07-29T13:56:00Z,"De Steiger","OPENBAAR VERVOERBAAN","Almere Haven",,adapted,NL:Q:58620050,"De Steiger",regular,available,143817,484662,0,,Y,,Y,,,langshalte,35.60,,,,true,false,true,false,false,true,0.18,5.00,5.00,35.60,2.20,true,false,false,,,0.00,true,true,,true,false,true,true,,true,false,true,true,4,false,,true,false,false,,2015-05-04T14:28:48Z,2015-05-03T22:04:25Z,2015-05-03T23:50:52Z
NL:S:58620080,onstreetBus,2014-07-29T14:40:00Z,"De Grienden",Oostgriend,"Almere Haven",,adapted,NL:Q:58620080,"De Grienden",regular,available,144931,483408,0,,Y,,Y,,,langshalte,39.80,,,,true,false,true,true,true,true,0.18,3.30,3.30,39.80,1.80,true,true,true,3.00,5.50,0.00,true,true,,true,false,true,true,,true,false,true,true,4,false,,true,false,false,,2015-05-04T14:28:49Z,2015-05-03T22:04:25Z,2015-05-03T23:50:52Z
NL:S:58620080,onstreetBus,2014-07-29T14:37:00Z,"De Grienden","OPENBAAR VERVOERBAAN","Almere Haven",,adapted,NL:Q:58620090,"De Grienden",regular,available,144952,483477,0,,Y,,Y,,,langshalte,37.00,,,,true,false,true,true,true,true,0.18,4.20,4.20,37.00,2.20,true,false,true,3.00,4.20,0.00,true,true,,true,false,true,true,,true,false,true,true,4,true,8,true,false,false,,2015-05-04T14:28:49Z,2015-05-03T22:04:25Z,2015-05-03T23:50:52Z
NL:S:58620100,onstreetBus,2014-07-29T16:41:00Z,"De Gouwen","OPENBAAR VERVOERBAAN","Almere Haven",,adapted,NL:Q:58620100,"De Gouwen",regular,available,143168,484211,0,,Y,,Y,,,langshalte,39.00,,,,true,false,true,true,true,true,0.18,4.30,4.30,39.00,1.80,true,true,true,2.40,3.00,0.00,true,true,,true,false,true,true,,true,false,true,true,4,true,8,true,false,false,,2015-05-04T14:28:49Z,2015-05-03T22:04:25Z,2015-05-03T23:50:52Z
NL:S:58620100,onstreetBus,2014-07-29T16:40:00Z,"De Gouwen","OPENBAAR VERVOERBAAN","Almere Haven",,adapted,NL:Q:58620150,"De Gouwen",regular,available,143129,484170,0,,Y,,Y,,,langshalte,39.40,,,,true,false,true,true,true,true,0.18,4.20,4.20,39.40,2.20,true,true,false,,,0.00,true,true,,true,false,true,true,,true,false,true,true,4,false,,true,false,false,,2015-05-04T14:28:49Z,2015-05-03T22:04:25Z,2015-05-03T23:50:53Z
NL:S:58620110,onstreetBus,2014-07-29T14:54:00Z,"De Meenten","OPENBAAR VERVOERBAAN","Almere Haven",,adapted,NL:Q:58620110,"De Meenten",regular,available,144638,483075,0,,Y,,Y,,,langshalte,37.00,,,,true,false,true,false,false,true,0.18,1.50,1.50,37.00,1.50,true,true,true,3.00,5.00,0.00,true,true,,true,false,true,true,,true,false,true,true,4,true,16,true,false,false,,2015-05-04T14:28:49Z,2015-05-03T22:04:25Z,2015-05-03T23:50:52Z
NL:S:58620110,onstreetBus,2014-07-29T14:56:00Z,"De Meenten",Jaagmeent,"Almere Haven",,adapted,NL:Q:58620120,"De Meenten",regular,available,144574,483098,0,,Y,,Y,,,langshalte,35.80,,,,true,false,true,true,true,true,0.18,3.90,3.90,35.80,2.10,true,true,true,3.00,5.50,0.00,true,true,,true,false,true,true,,true,false,true,true,4,false,,true,false,false,,2015-05-04T14:28:49Z,2015-05-03T22:04:25Z,2015-05-03T23:50:53Z
NL:S:58650040,onstreetBus,2014-07-30T15:07:00Z,Fugaplantsoen,"OPENBAAR VERVOERBAAN","Almere Stad",,adapted,NL:Q:58650040,Fugaplantsoen,regular,available,141259,487612,0,,Y,,Y,,,langshalte,29.00,,,,true,false,true,true,true,true,0.18,2.30,2.30,29.00,2.10,true,false,true,3.00,2.30,0.00,true,true,,true,false,true,true,,true,false,true,true,4,false,,true,false,false,,2015-05-04T14:28:50Z,2015-05-03T22:04:25Z,2015-05-03T23:50:55Z
NL:S:58650040,onstreetBus,2014-07-30T15:16:00Z,Fugaplantsoen,"OPENBAAR VERVOERBAAN","Almere Stad",,adapted,NL:Q:58650290,Fugaplantsoen,regular,available,141318,487636,0,,Y,,Y,,,langshalte,28.50,,,,true,false,true,true,true,true,0.18,2.10,2.10,28.50,2.10,true,false,true,3.00,2.10,0.00,true,true,,true,false,true,true,,true,false,true,true,4,false,,true,false,false,,2015-05-04T14:28:52Z,2015-05-03T22:04:25Z,2015-05-03T23:50:58Z
NL:S:58650060,onstreetBus,2014-07-30T15:39:00Z,"Wim Kanplein","OPENBAAR VERVOERBAAN","Almere Stad",,adapted,NL:Q:58650060,"Wim Kanplein",regular,available,140802,486981,0,,Y,,Y,,,langshalte,27.60,,,,true,false,true,true,true,true,0.18,2.00,2.00,27.60,2.00,true,false,true,3.00,2.00,0.00,true,true,,true,false,true,true,,true,false,true,true,4,false,,true,false,false,,2015-05-04T14:28:51Z,2015-05-03T22:04:25Z,2015-05-03T23:50:57Z
NL:S:58650060,onstreetBus,2014-07-30T15:51:00Z,"Wim Kanplein","Kathleen Ferrierstraat","Almere Stad",,adapted,NL:Q:58650070,"Wim Kanplein",regular,available,140830,487042,0,,Y,,Y,,,langshalte,27.50,,,,true,false,true,true,true,true,0.18,6.50,6.50,27.50,2.00,true,false,true,3.00,6.50,0.00,true,true,,true,false,true,true,,true,false,true,true,4,false,,true,false,false,,2015-05-04T14:28:51Z,2015-05-03T22:04:25Z,2015-05-03T23:50:57Z
NL:S:58650110,onstreetBus,2014-07-30T10:11:00Z,Componistenpad,Chopinpad,"Almere Stad",,adapted,NL:Q:58650110,Componistenpad,regular,available,141866,486832,0,,Y,,Y,,,langshalte,31.20,,,,true,false,true,true,true,true,0.18,5.00,5.00,31.20,1.90,true,false,true,1.10,1.10,0.00,true,true,,true,false,true,true,,true,false,true,true,4,false,,true,false,false,,2015-05-04T14:28:51Z,2015-05-03T22:04:25Z,2015-05-03T23:50:57Z
