stopplacecode,stopplacetype,validfrom,publicname,street,town,stopplaceindication,stopplacestatus,quaycode,quayname,quaytype,quaystatus,rd-x,rd-y,level,location,visuallyaccessible,disabledaccessible-tram,disabledaccessible-bus,disabledaccessible-metro,disabledaccessible-ferry,quayshapetype,baylength,embaymentwidth,bayentranceangles,bayexitangles,markedkerb,lift,guidelines,groundsurfaceindicator,tactilegroundsurfaceindicator,stopplaceaccessroute,kerbheight,boardingpositionwidth,alightingpositionwidth,liftedpartlength,narrowestpassagewidth,fulllengthguideline,guidelinestopplaceconnection,ramp,ramplength,rampwidth,heightwithenvironment,stopsign,audiobutton,stopsigntype,shelter,shelterpublicity,illuminatedstop,seatavailable,leantosupport,timetableinformation,infounit,routenetworkmap,passengerinformationdisplay,passengerinformationdisplaytype,bicycleparking,numberofbicycleplaces,bins,ovccico,ovccharging,remarks,mutationdate,stopplace_mutationdate,quay_mutationdate
NL:S:30000008,combiTramBus,2018-11-15T10:23:00Z,Dapperstraat,Wijttenbachstraat,Amsterdam,,adapted,NL:Q:30000008,Dapperstraat,regular,available,123840,486008,0,Wijttenbachstraat,N,N,N,,,langshalte,90.00,,,,false,false,false,false,false,false,0.14,1.00,1.50,90.00,1.00,false,false,false,,,0.00,true,true,L03,true,true,true,true,true,true,true,true,true,7,false,0,true,false,false,,2018-11-15T16:47:03Z,2015-05-03T22:03:31Z,2018-11-15T16:47:03Z
NL:S:30000008,combiTramBus,2018-11-15T10:23:00Z,Dapperstraat,Wijttenbachstraat,Amsterdam,,adapted,NL:Q:30000010,Dapperstraat,regular,available,123783,485995,0,Wijttenbachstraat,N,N,N,,,langshalte,55.30,,,,false,false,false,false,false,false,0.12,0.90,1.50,55.00,0.90,false,false,false,,,,true,true,L03,true,true,false,false,true,true,true,true,true,,false,0,true,false,false,,2018-11-15T16:47:03Z,2015-05-03T22:03:31Z,2018-11-15T16:47:03Z
NL:S:30000014,combiTramBus,2018-11-15T10:23:00Z,Wijttenbachstraat,Linnaeusstraat,Amsterdam,,adapted,NL:Q:30000014,Wijttenbachstraat,regular,available,123520,485920,0,Linnaeusstraat,N,N,N,,,langshalte,63.00,,,,true,false,false,false,false,false,0.10,1.05,1.05,57.00,1.05,false,false,true,3.00,1.30,0.10,true,true,L03,true,true,true,false,true,true,true,true,true,,false,0,true,false,false,,2018-11-15T16:47:02Z,2015-05-03T22:03:31Z,2018-11-15T16:47:02Z
NL:S:30000014,combiTramBus,2018-11-15T10:23:00Z,Wijttenbachstraat,Wijttenbachstraat,Amsterdam,,adapted,NL:Q:30000017,Linnaeusstraat,regular,available,123565,485904,0,Wijttenbachstraat,N,N,N,,,langshalte,65.00,,,,false,false,false,false,false,false,0.12,1.40,1.05,60.00,0.75,false,false,true,5.00,1.40,0.10,true,true,L03,true,true,true,false,true,true,true,true,true,,false,0,true,false,false,,2018-11-15T16:47:03Z,2015-05-03T22:03:31Z,2018-11-15T16:47:03Z
NL:S:30000014,combiTramBus,2018-11-15T10:23:00Z,Wijttenbachstraat,Wijttenbachstraat,Amsterdam,,adapted,NL:Q:30000444,Linnaeusstraat,regular,available,123506,485879,0,Wijttenbachstraat,N,N,N,,,langshalte,66.00,,,,false,false,false,false,false,false,0.14,1.05,1.40,63.00,0.90,false,false,true,3.00,1.20,0.08,true,true,L03,true,true,true,false,true,true,true,true,true,7,true,30,true,false,false,,2018-11-15T16:47:03Z,2015-05-03T22:03:31Z,2018-11-15T16:47:03Z
NL:S:30000014,combiTramBus,2018-11-15T10:23:00Z,Wijttenbachstraat,Linnaeusstraat,Amsterdam,,adapted,NL:Q:30008094,Wijttenbachstraat,regular,available,123550,485866,0,Linnaeusstraat,N,N,N,,,langshalte,66.00,,,,false,false,false,false,false,false,0.12,1.05,1.40,63.00,1.05,false,false,true,3.00,1.40,0.10,true,true,L03,true,true,true,false,true,true,true,true,true,3,false,0,true,false,false,,2018-11-15T16:47:03Z,2015-05-03T22:03:31Z,2018-11-15T16:47:03Z
NL:S:30000041,onstreetBus,2018-11-15T10:23:06Z,Maxwellstraat,"Hugo de Vrieslaan",Amsterdam,,adapted,NL:Q:30000041,Maxwellstraat,regular,available,123861,484554,0,"Hugo de Vrieslaan",Y,,N,,,langshalte,21.50,,,9.50,true,false,true,true,true,true,0.20,1.50,2.30,18.00,1.63,true,true,false,,1.80,-3.00,true,false,L03,true,true,true,true,false,true,true,true,false,,false,0,true,false,false,"Toegankelijkheid 4. in voorbereiding (1)Zorginstelling in de buurt (2)",2018-11-15T15:41:47Z,2015-05-03T22:03:31Z,2018-11-15T15:41:47Z
NL:S:30000041,onstreetBus,2018-11-15T10:23:06Z,Maxwellstraat,"Hugo de Vrieslaan",Amsterdam,,adapted,NL:Q:30009008,Maxwellstraat,regular,available,123738,484461,0,"Hugo de Vrieslaan",Y,,N,,,langshalte,21.50,,,,true,false,true,true,true,true,0.20,1.20,0.70,18.00,1.10,true,true,false,,1.80,0.00,true,false,L03,true,true,true,true,false,true,true,true,false,,false,0,true,false,false,,2018-11-15T15:41:47Z,2015-05-03T22:03:31Z,2018-11-15T15:41:47Z
NL:S:30000041,onstreetBus,2018-11-15T10:23:06Z,Maxwellstraat,Nobelweg,Amsterdam,,adapted,NL:Q:30009179,Maxwellstraat,regular,available,123730,484579,0,Nobelweg,N,,N,,,haltehaven,25.00,2.30,8.47,11.11,true,false,false,false,false,true,0.07,1.70,3.30,22.90,0.20,false,false,false,,1.80,0.04,true,false,L03,true,true,true,true,false,true,true,true,false,,false,0,true,false,false,,2018-11-15T15:41:47Z,2015-05-03T22:03:31Z,2018-11-15T15:41:47Z
NL:S:30000042,onstreetBus,2018-11-15T10:23:06Z,"Pieter Zeemanlaan","Hugo de Vrieslaan",Amsterdam,,adapted,NL:Q:30000042,"Pieter Zeemanlaan",regular,available,123936,484639,0,"Hugo de Vrieslaan",N,,N,,,"uitgestoken langshalte",20.66,,0.01,,true,false,false,false,false,true,0.08,1.80,2.58,0.01,0.80,false,false,false,,,,false,false,,false,false,true,true,false,true,false,true,false,,false,0,true,false,false,"Toegankelijkheid niet gepland (1)Zorginstelling in de buurt (2)",2018-11-15T15:41:48Z,2015-05-03T22:03:31Z,2018-11-15T15:41:47Z
NL:S:30000042,onstreetBus,2018-11-15T10:23:06Z,"Pieter Zeemanlaan","Hugo de Vrieslaan",Amsterdam,,adapted,NL:Q:30000043,"Pieter Zeemanlaan",regular,available,123953,484639,0,"Hugo de Vrieslaan",N,,N,,,"uitgestoken langshalte",24.92,,0.01,,true,false,false,false,false,true,0.12,1.90,2.30,0.01,0.70,false,false,false,,,,false,false,,false,false,true,true,false,true,false,true,false,,false,0,true,false,false,"Toegankelijkheid niet gepland (1)Zorginstelling in de buurt (2)",2018-11-15T15:41:48Z,2015-05-03T22:03:31Z,2018-11-15T15:41:48Z
NL:S:30000061,onstreetBus,2018-11-15T10:23:06Z,Archimedesweg,Archimedesweg,Amsterdam,,adapted,NL:Q:30000061,Archimedesweg,regular,available,124512,485414,0,Archimedesweg,Y,,N,,,langshalte,21.50,,,,true,false,true,true,true,true,0.20,1.80,1.50,18.00,1.35,true,true,false,,1.80,,true,false,L03,true,true,true,true,false,true,true,true,false,,true,16,true,false,false,"Toegankelijkheid 4. in voorbereiding (1)",2018-11-15T15:41:48Z,2015-05-03T22:03:31Z,2018-11-15T15:41:48Z
NL:S:30000061,onstreetBus,2018-11-15T10:23:06Z,Archimedesweg,Archimedesweg,Amsterdam,,adapted,NL:Q:30000062,Archimedesweg,regular,available,124524,485388,0,Archimedesweg,Y,,N,,,langshalte,21.50,,,,true,false,true,true,true,true,0.20,1.50,2.00,18.00,1.35,true,true,false,,1.80,0.03,true,false,L03,false,false,true,true,false,true,false,true,false,,true,11,true,false,false,"Toegankelijkheid 4. in voorbereiding (1)",2018-11-15T15:41:48Z,2015-05-03T22:03:31Z,2018-11-15T15:41:48Z
NL:S:30000126,onstreetBus,2018-11-15T10:23:06Z,Grubbehoeve,Bijlmerdreef,Amsterdam,,adapted,NL:Q:30000126,Grubbehoeve,regular,available,126985,481813,0,Bijlmerdreef,N,,N,,,haltehaven,18.00,2.70,14.00,10.00,true,false,false,false,false,true,0.12,1.70,2.50,18.00,1.49,false,false,false,,1.50,0.00,true,false,L03,true,true,true,true,false,true,true,true,false,,false,0,true,false,false,,2018-11-15T15:41:48Z,2015-05-03T22:03:31Z,2018-11-15T15:41:48Z
NL:S:30000126,onstreetBus,2018-11-15T10:23:06Z,Grubbehoeve,Bijlmerdreef,Amsterdam,,adapted,NL:Q:30000127,Grubbehoeve,regular,available,127081,481847,0,Bijlmerdreef,N,,N,,,haltehaven,17.00,2.70,17.00,11.00,true,false,false,false,false,true,0.12,2.00,2.00,17.00,0.80,false,false,false,,1.50,0.09,true,false,L03,true,true,true,true,false,true,true,true,false,,false,0,true,false,false,,2018-11-15T15:41:48Z,2015-05-03T22:03:31Z,2018-11-15T15:41:48Z
NL:S:30000128,onstreetBus,2018-11-15T10:23:06Z,Geerdinkhof,'s-Gravendijkdreef,Amsterdam,,adapted,NL:Q:30000128,Geerdinkhof,regular,available,127289,481738,0,'s-Gravendijkdreef,N,,N,,,haltehaven,17.00,2.70,17.00,11.00,true,false,false,false,false,true,0.12,2.00,3.00,17.00,1.45,false,false,false,,1.50,0.00,true,false,L03,true,true,true,true,false,true,true,true,false,,false,0,true,false,false,,2018-11-15T15:41:49Z,2015-05-03T22:03:31Z,2018-11-15T15:41:49Z
NL:S:30000128,onstreetBus,2018-11-15T10:23:06Z,Geerdinkhof,Bijlmerdreef,Amsterdam,,adapted,NL:Q:30000129,Geerdinkhof,regular,available,127257,481823,0,Bijlmerdreef,N,,N,,,haltehaven,17.50,2.70,10.00,7.40,true,false,false,false,false,true,0.11,1.30,1.30,,0.88,false,false,false,,,0.05,true,false,L03,true,true,true,true,false,true,true,true,false,,false,0,true,false,false,,2018-11-15T15:41:49Z,2015-05-03T22:03:31Z,2018-11-15T15:41:49Z
NL:S:30000134,onstreetBus,2018-11-15T10:23:06Z,Koornhorst,'s-Gravendijkdreef,Amsterdam,,adapted,NL:Q:30000134,Koornhorst,regular,available,127507,481312,0,'s-Gravendijkdreef,N,,N,,,langshalte,28.00,,,,true,false,false,false,false,false,0.13,1.40,1.40,16.50,1.58,false,false,false,,1.00,0.10,true,false,L03,true,true,true,false,true,true,true,true,false,,false,0,true,false,false,,2018-11-15T15:41:49Z,2015-05-03T22:03:31Z,2018-11-15T15:41:49Z
NL:S:30000134,onstreetBus,2018-11-15T10:23:06Z,Koornhorst,'s-Gravendijkdreef,Amsterdam,,adapted,NL:Q:30000135,Koornhorst,regular,available,127509,481339,0,'s-Gravendijkdreef,N,,N,,,langshalte,27.60,,,,true,false,false,false,false,true,0.20,1.20,1.20,25.60,0.09,false,false,false,,0.90,0.12,true,true,L03,true,true,true,true,false,true,true,true,true,8,false,0,true,false,false,,2018-11-15T15:41:50Z,2015-05-03T22:03:31Z,2018-11-15T15:41:50Z
NL:S:30000141,onstreetBus,2018-11-15T10:23:06Z,Kraaienneststation,Kikkenstein,Amsterdam,,adapted,NL:Q:30000141,Kraaienneststation,regular,available,127143,480978,0,Kikkenstein,Y,,N,,,haltehaven,27.00,3.00,12.00,8.00,true,false,true,true,false,true,0.18,2.00,2.00,17.00,2.00,true,true,false,,3.00,0.00,true,true,L03,true,true,true,true,false,true,true,true,true,3,false,0,true,false,false,,2018-11-15T15:41:50Z,2015-05-03T22:03:31Z,2018-11-15T15:41:50Z
NL:S:30000141,onstreetBus,2018-11-15T10:23:06Z,Kraaienneststation,Karspeldreef,Amsterdam,,adapted,NL:Q:30000552,Kraaienneststation,regular,available,127329,481059,0,Karspeldreef,N,,N,,,haltehaven,27.60,3.40,18.00,14.00,true,false,false,false,false,true,0.20,1.45,2.00,21.60,1.45,false,false,true,0.60,1.40,0.10,true,true,L03,true,true,true,true,false,true,true,true,true,8,false,0,true,false,false,,2018-11-15T15:41:50Z,2015-05-03T22:03:31Z,2018-11-15T15:41:50Z
NL:S:30000141,onstreetBus,2018-11-15T10:23:06Z,Kraaienneststation,Kromwijkdreef,Amsterdam,,adapted,NL:Q:30000553,Kraaienneststation,regular,available,127283,480972,0,Kromwijkdreef,Y,,N,,,haltehaven,21.50,3.40,23.00,18.00,true,false,true,true,true,true,0.20,2.40,2.40,18.00,2.20,true,true,false,,2.00,0.00,true,true,L03,true,true,true,true,false,true,true,true,true,8,false,0,true,false,false,,2018-11-15T15:41:50Z,2015-05-03T22:03:31Z,2018-11-15T15:41:50Z
NL:S:30000144,onstreetBus,2018-11-15T10:23:06Z,Kikkenstein,Groesbeekdreef,Amsterdam,,adapted,NL:Q:30000144,Kikkenstein,regular,available,126715,481066,0,Groesbeekdreef,Y,,N,,,langshalte,26.00,,,,true,false,true,true,true,true,0.18,1.85,2.10,18.00,1.85,true,true,true,58.00,1.50,3.60,true,false,L03,true,true,true,true,false,true,true,true,false,,false,0,true,false,false,,2018-11-15T15:41:50Z,2015-05-03T22:03:31Z,2018-11-15T15:41:50Z
NL:S:30000144,onstreetBus,2018-11-15T10:23:06Z,Kikkenstein,Groesbeekdreef,Amsterdam,,adapted,NL:Q:30000145,Kikkenstein,regular,available,126738,480993,0,Groesbeekdreef,Y,,N,,,haltehaven,21.40,3.20,28.60,15.60,true,false,true,true,true,true,0.20,1.80,2.10,18.20,1.50,true,true,true,58.00,1.50,3.50,true,false,L03,true,true,true,true,false,true,true,true,false,,false,0,true,false,false,,2018-11-15T15:41:51Z,2015-05-03T22:03:31Z,2018-11-15T15:41:51Z
NL:S:30000152,onstreetBus,2018-11-15T10:23:06Z,Florijn,Bijlmerdreef,Amsterdam,,adapted,NL:Q:30000152,Florijn,regular,available,125772,481158,0,Bijlmerdreef,Y,,Y,,,haltehaven,19.70,3.04,17.40,14.00,true,false,true,true,true,true,0.18,2.25,2.25,15.40,1.46,true,true,true,2.00,2.00,0.12,true,false,L03,true,true,true,true,false,true,true,true,false,,false,0,true,false,false,,2018-11-15T15:41:51Z,2015-05-03T22:03:31Z,2018-11-15T15:41:51Z
NL:S:30000152,onstreetBus,2018-11-15T10:23:06Z,Florijn,Bijlmerdreef,Amsterdam,,adapted,NL:Q:30000153,Florijn,regular,available,125855,481179,0,Bijlmerdreef,Y,,Y,,,haltehaven,24.80,2.76,16.90,9.40,true,false,true,true,true,true,0.18,3.15,3.15,20.60,1.20,true,true,true,2.00,2.00,0.14,true,false,L03,true,true,true,true,false,true,true,true,false,,false,0,true,false,false,,2018-11-15T15:41:51Z,2015-05-03T22:03:31Z,2018-11-15T15:41:51Z
NL:S:30000196,onstreetBus,2018-11-15T10:23:06Z,"Station Ganzenhoef",Elsrijkdreef,Amsterdam,,adapted,NL:Q:30000117,"Station Ganzenhoef",regular,available,126776,481753,0,,N,,N,,,langshalte,20.00,,,,false,false,false,false,false,false,0.20,2.00,2.00,20.00,1.50,false,false,true,1.00,1.60,0.00,true,false,L03,false,false,true,false,false,false,false,false,false,,false,,false,false,false,,2018-11-15T15:41:52Z,2015-05-03T22:03:31Z,2018-11-15T15:41:51Z
NL:S:30000196,onstreetBus,2018-11-15T10:23:06Z,"Station Ganzenhoef",Bijlmerdreef,Amsterdam,,adapted,NL:Q:30000196,"Station Ganzenhoef",regular,available,126840,481736,0,Bijlmerdreef,N,,N,,,langshalte,10.00,,,,false,false,false,false,false,true,0.10,1.95,4.00,10.00,1.95,false,false,true,0.80,1.40,0.10,true,false,L03,false,false,true,false,false,true,false,false,false,,false,0,false,false,false,,2018-11-15T15:41:52Z,2015-05-03T22:03:31Z,2018-11-15T15:41:52Z
NL:S:30000196,onstreetBus,2018-11-15T10:23:06Z,"Station Ganzenhoef",Elsrijkdreef,Amsterdam,,adapted,NL:Q:30000199,"Station Ganzenhoef",regular,available,126783,481764,0,Elsrijkdreef,Y,,Y,,,haltehaven,21.60,3.10,13.50,8.10,true,false,true,true,true,true,0.18,1.65,2.00,18.20,1.65,true,false,false,,2.00,0.00,true,true,L03,true,true,true,true,false,true,true,true,true,8,false,0,true,false,false,,2018-11-15T15:41:52Z,2015-05-03T22:03:31Z,2018-11-15T15:41:52Z
NL:S:30000196,onstreetBus,2018-11-15T10:23:06Z,"Station Ganzenhoef",Bijlmerdreef,Amsterdam,,adapted,NL:Q:30000200,"Station Ganzenhoef",regular,available,126904,481749,0,Bijlmerdreef,N,,N,,,haltehaven,18.00,2.70,14.00,10.00,true,false,false,false,false,true,0.12,1.85,2.10,18.00,1.00,false,false,false,,2.00,0.00,true,true,L03,true,true,true,true,false,true,true,true,true,8,false,0,true,false,false,,2018-11-15T15:41:52Z,2015-05-03T22:03:31Z,2018-11-15T15:41:52Z
NL:S:30000219,onstreetBus,2018-11-15T10:23:06Z,Gaasperplas,Kromwijkdreef,Amsterdam,,adapted,NL:Q:30000321,Gaasperplas,regular,available,127578,480408,0,Kromwijkdreef,N,,N,,,langshalte,19.53,,,,true,false,false,true,false,true,0.05,1.81,1.85,19.53,0.81,false,false,false,,2.00,0.00,true,false,L03,false,false,true,false,false,true,false,false,false,,false,0,true,false,false,,2018-11-15T15:41:52Z,2015-05-03T22:03:31Z,2018-11-15T15:41:52Z
