stopplacecode,stopplacetype,validfrom,publicname,street,town,stopplaceindication,stopplacestatus,quaycode,quayname,quaytype,quaystatus,rd-x,rd-y,level,location,visuallyaccessible,disabledaccessible-tram,disabledaccessible-bus,disabledaccessible-metro,disabledaccessible-ferry,quayshapetype,baylength,embaymentwidth,bayentranceangles,bayexitangles,markedkerb,lift,guidelines,groundsurfaceindicator,tactilegroundsurfaceindicator,stopplaceaccessroute,kerbheight,boardingpositionwidth,alightingpositionwidth,liftedpartlength,narrowestpassagewidth,fulllengthguideline,guidelinestopplaceconnection,ramp,ramplength,rampwidth,heightwithenvironment,stopsign,audiobutton,stopsigntype,shelter,shelterpublicity,illuminatedstop,seatavailable,leantosupport,timetableinformation,infounit,routenetworkmap,passengerinformationdisplay,passengerinformationdisplaytype,bicycleparking,numberofbicycleplaces,bins,ovccico,ovccharging,remarks,mutationdate,stopplace_mutationdate,quay_mutationdate
NL:S:31008731,metroStation,2018-11-15T01:00:00Z,"Den Haag Centraal",BUSSTATION,"Den Haag",,adapted,NL:Q:32012608,"Den Haag Centraal",temporary,plan,82224,455243,0,,N,,N,,,unknown,0.00,,,,false,false,false,false,false,false,,,,,,false,false,false,,,,false,false,,false,false,false,false,false,false,false,false,false,,false,,false,false,false,,2018-11-20T10:14:40Z,2015-05-03T22:03:38Z,2018-11-20T10:14:40Z
NL:S:31008731,metroStation,2018-11-15T01:00:00Z,"Den Haag Centraal",Rijnstraat,"Den Haag",,adapted,NL:Q:31008731,"Den Haag Centraal",regular,available,82226,455262,0,,Y,,,Y,,langshalte,10.00,,,,false,false,true,false,false,false,1.30,4.00,4.00,0.01,0.01,false,false,false,,,0.00,false,false,L03,false,false,false,false,false,false,false,false,false,0,false,0,true,true,true,,2018-11-20T10:14:23Z,2015-05-03T22:03:38Z,2018-11-20T10:14:23Z
NL:S:31008731,metroStation,2018-01-01T12:00:00Z,"Den Haag Centraal",Rijnstraat,"Den Haag",,adapted,NL:Q:31008732,"Den Haag Centraal",regular,available,82216,455255,0,,Y,,,Y,,langshalte,16.80,,,,true,true,true,false,false,false,1.30,3.50,3.50,100.80,3.00,true,false,false,,3.50,0.00,true,false,L03,false,false,true,true,false,true,false,true,true,3,false,0,true,true,true,,2018-01-08T15:03:42Z,2015-05-03T22:03:38Z,2018-01-08T15:03:42Z
NL:S:32000207,combiTramBus,2018-11-15T00:00:00Z,"Zwarte Pad","Zwarte Pad","Den Haag",,adapted,NL:Q:32000211,"Zwarte Pad",regular,available,79730,459286,0,,N,Y,,,,langshalte,66.00,,,,true,false,false,false,false,false,0.25,2.50,2.50,66.00,1.40,false,false,true,3.00,1.20,0.00,true,false,L03,true,false,true,true,false,true,true,true,true,2,false,0,true,false,false,,2018-11-16T11:04:27Z,2015-05-03T22:03:39Z,2018-11-16T11:04:27Z
NL:S:32000207,combiTramBus,2018-11-15T00:00:00Z,"Zwarte Pad","Zwarte Pad","Den Haag",,adapted,NL:Q:32000203,"Zwarte Pad",regular,available,79721,459277,0,,N,,Y,,,langshalte,66.00,,,,true,false,false,false,false,false,0.25,2.50,2.50,66.00,1.40,false,false,true,3.00,1.20,0.00,true,false,L03,true,false,true,true,false,true,true,true,true,2,false,0,true,false,false,,2018-11-16T11:04:27Z,2015-05-03T22:03:39Z,2018-11-16T11:04:27Z
NL:S:32000207,combiTramBus,2018-11-15T00:00:00Z,"Zwarte Pad","Zwarte Pad","Den Haag",,adapted,NL:Q:32000216,"Zwarte Pad",regular,available,79814,459315,0,,N,Y,,,,langshalte,66.00,,,,true,false,false,false,false,false,0.25,2.50,2.50,66.00,1.40,false,false,true,3.00,1.20,0.00,true,false,L03,true,false,true,true,false,true,true,true,true,2,false,0,true,false,false,,2018-11-16T11:04:28Z,2015-05-03T22:03:39Z,2018-11-16T11:04:28Z
NL:S:32000207,combiTramBus,2018-11-15T01:00:00Z,"Zwarte Pad","Zwarte Pad","Den Haag",,adapted,NL:Q:32000213,"Zwarte Pad",regular,available,79804,459300,0,,N,N,,,,langshalte,10.00,,,,false,false,false,false,false,false,0.01,0.01,0.01,0.01,0.01,false,false,false,,,0.00,false,false,L03,true,false,false,false,false,false,true,false,false,,false,0,true,false,false,,2018-11-20T10:14:23Z,2015-05-03T22:03:39Z,2018-11-20T10:14:23Z
NL:S:32000207,combiTramBus,2018-11-15T01:00:00Z,"Zwarte Pad","Zwarte Pad","Den Haag",,adapted,NL:Q:32000215,"Zwarte Pad",regular,available,79811,459310,0,,N,N,,,,langshalte,10.00,,,,false,false,false,false,false,false,0.01,0.01,0.01,0.01,0.01,false,false,false,,,0.00,false,false,L03,true,false,false,false,false,false,true,false,false,,false,0,true,false,false,,2018-11-20T10:14:23Z,2015-05-03T22:03:39Z,2018-11-20T10:14:23Z
NL:S:32000207,combiTramBus,2018-11-15T01:00:00Z,"Zwarte Pad","Zwarte Pad","Den Haag",,adapted,NL:Q:32000214,"Zwarte Pad",regular,available,79809,459304,0,,N,Y,,,,langshalte,66.00,,,,true,false,false,false,false,false,0.25,2.50,2.50,66.00,1.40,false,false,true,3.00,1.20,0.00,true,false,L03,true,false,true,true,false,true,true,true,true,2,false,0,true,false,false,,2018-11-20T10:14:23Z,2015-05-03T22:03:39Z,2018-11-20T10:14:23Z
NL:S:32000207,combiTramBus,2018-01-01T12:00:00Z,"Zwarte Pad","Zwarte Pad","Den Haag",,adapted,NL:Q:32000207,"Zwarte Pad",regular,available,79797,459193,0,,Y,Y,,,,langshalte,88.00,,,,true,false,true,false,false,false,0.48,2.50,2.50,88.00,1.00,true,false,true,6.00,1.80,0.00,false,false,L03,false,false,true,false,false,true,false,false,false,,false,0,true,false,false,,2018-01-08T15:03:43Z,2015-05-03T22:03:39Z,2018-11-28T17:09:38Z
