stopplacecode,stopplacetype,validfrom,publicname,street,town,stopplaceindication,stopplacestatus,quaycode,quayname,quaytype,quaystatus,rd-x,rd-y,level,location,visuallyaccessible,disabledaccessible-tram,disabledaccessible-bus,disabledaccessible-metro,disabledaccessible-ferry,quayshapetype,baylength,embaymentwidth,bayentranceangles,bayexitangles,markedkerb,lift,guidelines,groundsurfaceindicator,tactilegroundsurfaceindicator,stopplaceaccessroute,kerbheight,boardingpositionwidth,alightingpositionwidth,liftedpartlength,narrowestpassagewidth,fulllengthguideline,guidelinestopplaceconnection,ramp,ramplength,rampwidth,heightwithenvironment,stopsign,audiobutton,stopsigntype,shelter,shelterpublicity,illuminatedstop,seatavailable,leantosupport,timetableinformation,infounit,routenetworkmap,passengerinformationdisplay,passengerinformationdisplaytype,bicycleparking,numberofbicycleplaces,bins,ovccico,ovccharging,remarks,mutationdate,stopplace_mutationdate,quay_mutationdate
NL:S:64000200,onstreetBus,2018-01-13T00:00:00Z,Mecklenburgstraat,"Hagenkampweg Noord",Eindhoven,,adapted,NL:Q:64000200,Mecklenburgstraat,regular,available,160581,382715,0,,Y,,Y,,,langshalte,26.00,,,,true,false,true,false,false,false,0.18,2.40,3.90,26.00,1.80,false,false,false,,1.20,,true,false,,true,false,true,true,false,true,true,false,true,,false,0,true,false,false,,2018-01-19T11:55:02Z,2015-05-03T22:04:35Z,2018-01-19T11:55:02Z
NL:S:64000200,onstreetBus,2018-01-13T00:00:00Z,Mecklenburgstraat,"Karel de Grotelaan",Eindhoven,,adapted,NL:Q:64000470,Mecklenburgstraat,regular,available,160426,382644,0,,Y,,Y,,,langshalte,22.00,,,,true,false,true,false,false,true,0.18,2.10,3.00,22.00,1.80,false,true,false,,1.80,,true,false,,true,false,true,true,false,true,true,false,true,,false,0,true,false,false,,2018-01-19T11:55:03Z,2015-05-03T22:04:35Z,2018-01-19T11:55:03Z
NL:S:64001050,onstreetBus,2018-11-15T01:00:00Z,"De Rondom Zuid","de Rondom",Eindhoven,,adapted,NL:Q:64001050,"De Rondom Zuid",regular,available,162301,384179,0,,N,,N,,,unknown,0.00,,,,false,false,false,false,false,false,,,,,,false,false,false,,,,false,false,,false,false,false,false,false,false,false,false,false,,false,,false,false,false,,2018-11-20T09:56:11Z,2015-05-03T22:04:35Z,2018-11-20T09:56:11Z
NL:S:64001440,onstreetBus,2018-11-15T01:00:00Z,Hertogstraat,Hertogstraat,Eindhoven,,adapted,NL:Q:64001440,Hertogstraat,regular,available,161855,382742,0,,Y,,Y,,,langshalte,19.00,,,,true,false,true,false,false,false,0.18,3.00,3.00,19.00,1.20,false,false,false,,2.10,,true,false,,false,false,true,false,false,true,false,false,true,,false,0,true,false,false,,2018-11-20T09:56:11Z,2015-05-03T22:04:35Z,2018-11-20T09:56:11Z
NL:S:64002340,onstreetBus,2018-11-15T00:00:00Z,Stationsweg,Stationsplein,Eindhoven,,adapted,NL:Q:64002335,Stationsweg,regular,available,161427,383601,0,,U,,U,,,unknown,0.00,,,,false,false,false,false,false,false,,,,,,false,false,false,,,,false,false,,false,false,false,false,false,false,false,false,false,,false,,false,false,false,,2018-11-16T10:32:47Z,2015-05-03T22:04:35Z,2018-11-16T10:32:47Z
NL:S:64002340,onstreetBus,2018-11-15T00:00:00Z,Stationsweg,Stationsplein,Eindhoven,,adapted,NL:Q:64002345,Stationsweg,regular,available,161424,383621,0,,U,,U,,,unknown,0.00,,,,false,false,false,false,false,false,,,,,,false,false,false,,,,false,false,,false,false,false,false,false,false,false,false,false,,false,,false,false,false,,2018-11-16T10:32:47Z,2015-05-03T22:04:35Z,2018-11-16T10:32:47Z
NL:S:64002340,onstreetBus,2018-01-13T00:00:00Z,Stationsweg,Stationsplein,Eindhoven,,adapted,NL:Q:64002340,Stationsweg,regular,available,161523,383641,0,,N,,N,,,semi-haltehaven,11.00,2.50,,5.00,false,false,false,false,false,true,0.12,4.65,4.65,11.00,3.00,false,false,false,,3.60,,true,false,,false,false,true,false,false,true,false,false,true,,false,0,true,false,false,,2018-01-19T14:23:04Z,2015-05-03T22:04:35Z,2018-11-28T16:54:37Z
NL:S:64005190,onstreetBus,2018-11-15T00:00:00Z,Gagelstraat,Willemstraat,Eindhoven,,adapted,NL:Q:64005205,Gagelstraat,regular,available,160387,383335,0,,U,,U,,,unknown,0.00,,,,false,false,false,false,false,false,,,,,,false,false,false,,,,false,false,,false,false,false,false,false,false,false,false,false,,false,,false,false,false,,2018-11-16T10:32:48Z,2015-05-03T22:04:35Z,2018-11-16T10:32:48Z
NL:S:64005190,onstreetBus,2018-01-13T00:00:00Z,Gagelstraat,Willemstraat,Eindhoven,,adapted,NL:Q:64005190,Gagelstraat,regular,available,160486,383306,0,,Y,,Y,,,langshalte,20.00,,,,true,false,true,false,false,false,0.18,3.80,3.80,0.01,0.01,false,false,false,,,,true,false,,false,false,true,false,false,true,false,false,true,,false,0,false,false,false,,2018-01-19T14:23:05Z,2015-05-03T22:04:35Z,2018-01-19T14:23:05Z
NL:S:64005190,onstreetBus,2018-01-13T00:00:00Z,Gagelstraat,"Jozef Eliasweg",Eindhoven,,adapted,NL:Q:64005200,Gagelstraat,regular,available,160407,383285,0,,Y,,Y,,,langshalte,20.00,,,,true,false,true,false,false,false,0.18,1.80,1.80,0.01,0.01,false,true,false,,,,true,false,,true,false,true,true,false,true,true,false,true,,false,0,true,false,false,,2018-01-19T14:23:05Z,2015-05-03T22:04:35Z,2018-01-19T14:23:05Z
NL:S:64005535,onstreetBus,2014-03-26T13:34:00Z,Uiverlaan,Fuutlaan,Eindhoven,,adapted,NL:Q:64005535,Uiverlaan,regular,expired,162460,383831,0,,N,,N,,,langshalte,0.00,,,,false,false,false,false,false,false,,,,,,false,false,false,,,0.00,false,false,,false,false,false,false,,false,false,,false,0,false,0,false,false,false,,2015-05-04T16:33:55Z,2015-05-03T22:04:35Z,2018-01-19T14:23:07Z
NL:S:64005535,onstreetBus,2014-03-26T13:34:00Z,Uiverlaan,Fuutlaan,Eindhoven,,adapted,NL:Q:64005545,Uiverlaan,regular,expired,162457,383843,0,,N,,N,,,langshalte,0.00,,,,false,false,false,false,false,false,,,,,,false,false,false,,,0.00,false,false,,false,false,false,false,,false,false,,false,0,false,0,false,false,false,,2015-05-04T16:33:55Z,2015-05-03T22:04:35Z,2018-01-19T14:23:07Z
NL:S:64005555,onstreetBus,2014-03-26T13:34:00Z,Dommelhoef,Fuutlaan,Eindhoven,,adapted,NL:Q:64005555,Dommelhoef,regular,expired,161900,383708,0,,N,,N,,,unknown,0.00,,,,false,false,false,false,,false,,,,,,,,,,,,false,false,,,,,,,,,,,,,,,,,,2016-06-23T12:04:19Z,2015-05-03T22:04:35Z,2018-01-19T14:23:07Z
NL:S:64005555,onstreetBus,2014-03-26T13:34:00Z,Dommelhoef,Fuutlaan,Eindhoven,,adapted,NL:Q:64005565,Dommelhoef,regular,expired,161885,383717,0,,N,,N,,,unknown,0.00,,,,false,false,false,false,,false,,,,,,,,,,,,false,false,,,,,,,,,,,,,,,,,,2016-06-23T12:04:19Z,2015-05-03T22:04:35Z,2018-01-19T14:23:07Z
NL:S:64005590,onstreetBus,2018-01-13T00:00:00Z,Rubensstraat,Rubensstraat,Eindhoven,,adapted,NL:Q:64005590,Rubensstraat,regular,available,162525,383379,0,,Y,,Y,,,langshalte,12.00,,,,true,false,true,false,false,false,0.18,2.55,2.55,12.00,1.20,false,false,false,,1.20,,true,false,,false,false,true,false,false,true,false,false,true,,false,0,true,false,false,,2018-01-19T14:23:07Z,2015-05-03T22:04:35Z,2018-11-28T16:54:38Z
NL:S:64005590,onstreetBus,2018-01-13T00:00:00Z,Rubensstraat,Rubensstraat,Eindhoven,,adapted,NL:Q:64005600,Rubensstraat,regular,available,162656,383335,0,,Y,,Y,,,langshalte,12.00,,,,true,false,true,false,false,true,0.18,4.35,4.35,12.00,2.55,false,false,false,,1.80,,true,false,,false,false,true,false,false,true,false,false,true,,false,0,true,false,false,,2018-01-19T14:23:07Z,2015-05-03T22:04:35Z,2018-11-28T16:54:38Z
NL:S:64050030,onstreetBus,2018-04-24T12:00:00Z,Europalaan,"Veldm Montgomerylaan",Eindhoven,,adapted,NL:Q:64050030,Europalaan,regular,available,161247,385400,0,,Y,,Y,,,haltehaven,40.00,3.50,9.00,56.00,true,false,true,false,false,false,0.18,1.80,1.80,0.01,0.01,false,true,false,,,,true,false,,true,false,true,true,false,true,true,false,true,,false,0,true,false,false,,2018-05-04T15:48:39Z,2015-05-03T22:04:35Z,2018-11-28T16:54:43Z
NL:S:64050030,onstreetBus,2018-04-24T12:00:00Z,Europalaan,Kaakstraat,Eindhoven,,adapted,NL:Q:64050040,Europalaan,regular,available,161244,385295,0,,Y,,Y,,,semi-haltehaven,31.00,3.00,,32.00,true,false,true,false,false,false,0.18,2.80,2.80,0.01,0.01,false,false,false,,,,true,false,,true,false,true,true,false,true,true,false,true,,false,0,true,false,false,,2018-05-04T15:48:39Z,2015-05-03T22:04:35Z,2018-11-28T16:54:43Z
NL:S:64050300,onstreetBus,2018-01-13T00:00:00Z,Heraultlaan,Fransebaan,Eindhoven,,adapted,NL:Q:64050300,Heraultlaan,regular,available,158444,388547,0,,Y,,Y,,,langshalte,21.00,,,,true,false,true,false,false,false,0.18,5.30,5.30,0.01,0.01,false,false,false,,,,true,false,,true,false,true,true,false,true,true,false,true,,false,0,true,false,false,,2018-01-19T14:23:15Z,2015-05-03T22:04:35Z,2018-11-28T16:54:46Z
