stopplacecode,stopplacetype,validfrom,publicname,street,town,stopplaceindication,stopplacestatus,quaycode,quayname,quaytype,quaystatus,rd-x,rd-y,level,location,visuallyaccessible,disabledaccessible-tram,disabledaccessible-bus,disabledaccessible-metro,disabledaccessible-ferry,quayshapetype,baylength,embaymentwidth,bayentranceangles,bayexitangles,markedkerb,lift,guidelines,groundsurfaceindicator,tactilegroundsurfaceindicator,stopplaceaccessroute,kerbheight,boardingpositionwidth,alightingpositionwidth,liftedpartlength,narrowestpassagewidth,fulllengthguideline,guidelinestopplaceconnection,ramp,ramplength,rampwidth,heightwithenvironment,stopsign,audiobutton,stopsigntype,shelter,shelterpublicity,illuminatedstop,seatavailable,leantosupport,timetableinformation,infounit,routenetworkmap,passengerinformationdisplay,passengerinformationdisplaytype,bicycleparking,numberofbicycleplaces,bins,ovccico,ovccharging,remarks,mutationdate,stopplace_mutationdate,quay_mutationdate
NL:S:31000107,combiTramBus,2018-01-01T12:00:00Z,Pleinweg,Pleinweg,Rotterdam,,adapted,NL:Q:42067501,Pleinweg,regular,available,92507,434053,0,,N,,Y,,,langshalte,18.00,,,,false,false,false,false,false,false,0.27,2.50,1.45,18.00,1.45,false,false,true,4.00,2.85,0.27,true,false,L03,true,false,false,false,false,true,true,true,true,1,false,0,false,false,false,,2018-01-08T15:08:34Z,2015-05-03T22:03:34Z,2018-01-08T15:08:34Z
NL:S:31000107,combiTramBus,2018-01-01T12:00:00Z,Pleinweg,Pleinweg,Rotterdam,,adapted,NL:Q:31000107,Pleinweg,regular,available,92448,434041,0,Pleinweg,N,Y,,,,langshalte,18.00,,,,false,false,false,false,false,false,0.27,2.40,2.40,18.00,1.60,false,false,true,3.00,2.40,0.27,true,false,L03,true,false,false,false,false,true,true,true,true,1,false,0,false,false,false,,2018-01-08T14:58:03Z,2015-05-03T22:03:34Z,2018-11-28T17:08:13Z
NL:S:31000107,combiTramBus,2018-01-01T12:00:00Z,Pleinweg,Wolphaertsbocht,Rotterdam,,adapted,NL:Q:31000108,Pleinweg,regular,available,92425,434035,0,Wolphaertsbocht,N,Y,,,,langshalte,18.00,,,,false,false,false,false,false,false,0.27,2.50,1.45,18.00,1.45,false,false,true,4.00,2.85,0.27,true,false,L03,true,false,false,false,false,true,true,true,true,1,false,0,false,false,false,,2018-01-08T14:58:03Z,2015-05-03T22:03:34Z,2018-11-28T17:11:57Z
NL:S:31000119,combiTramBus,2018-01-01T12:00:00Z,Breeplein,Breeplein,Rotterdam,,adapted,NL:Q:31000119,Breeplein,regular,available,94864,433954,0,Breeplein,N,Y,,,,langshalte,18.00,,,,false,false,false,false,false,false,0.28,2.15,2.15,18.00,1.40,false,false,true,4.00,2.25,0.30,true,false,L03,true,false,false,false,false,true,true,true,true,2,false,0,false,false,false,,2018-01-08T14:58:05Z,2015-05-03T22:03:34Z,2018-11-28T17:09:30Z
NL:S:31000119,combiTramBus,2018-01-01T12:00:00Z,Breeplein,Beukendaal,Rotterdam,,adapted,NL:Q:31000120,Breeplein,regular,available,94956,433883,0,Beukendaal,N,Y,,,,langshalte,18.00,,,,false,false,false,false,false,false,0.26,2.88,2.88,18.00,2.11,false,false,true,4.00,2.71,0.26,true,false,L03,true,false,false,false,false,true,true,true,true,1,false,0,false,false,false,,2018-01-08T14:58:05Z,2015-05-03T22:03:34Z,2018-11-28T17:12:57Z
NL:S:31000119,combiTramBus,2018-01-01T12:00:00Z,Breeplein,Breeplein,Rotterdam,,adapted,NL:Q:31000448,Breeplein,regular,available,94834,433912,0,Breeplein,Y,,Y,,,semi-haltehaven,18.00,2.85,7.00,,true,false,true,false,false,false,0.18,1.94,1.94,0.01,0.61,false,false,false,,,0.00,true,false,L03,true,false,false,false,false,true,true,true,false,0,false,0,false,false,false,,2018-01-08T14:58:44Z,2015-05-03T22:03:34Z,2018-11-28T17:12:27Z
NL:S:31000119,combiTramBus,2018-01-01T12:00:00Z,Breeplein,Randweg,Rotterdam,,adapted,NL:Q:31000506,Breeplein,regular,available,94870,433999,0,Randweg,Y,,Y,,,langshalte,16.20,,,,true,false,true,true,true,false,0.20,5.52,2.55,13.80,1.52,true,true,false,,,0.00,true,false,L03,true,false,false,false,false,true,true,true,false,0,false,0,false,false,false,,2018-01-08T14:58:48Z,2015-05-03T22:03:34Z,2018-11-28T17:13:17Z
NL:S:31000122,onstreetTram,2018-01-01T12:00:00Z,Kerstendijk,Reyerdijk,Rotterdam,,adapted,NL:Q:31000122,Kerstendijk,regular,available,96964,432893,0,Reyerdijk,N,Y,,,,langshalte,18.00,,,,false,false,false,false,false,false,0.27,2.18,1.44,18.00,1.44,false,false,true,3.00,2.41,0.26,true,true,L03,true,false,false,false,false,true,true,true,true,1,false,0,false,false,false,,2018-01-08T14:58:06Z,2015-05-03T22:03:34Z,2018-11-28T17:08:49Z
NL:S:31000122,onstreetTram,2018-01-01T12:00:00Z,Kerstendijk,Bandeloodijk,Rotterdam,,adapted,NL:Q:31000124,Kerstendijk,regular,available,96953,432901,0,Bandeloodijk,N,Y,,,,langshalte,18.00,,,,false,false,false,false,false,false,0.27,2.16,1.44,18.00,1.44,false,false,true,3.00,2.42,0.25,true,true,L03,true,false,false,false,false,true,true,true,true,1,false,0,false,false,false,,2018-01-08T14:58:06Z,2015-05-03T22:03:34Z,2018-11-28T17:12:36Z
NL:S:31000153,onstreetBus,2018-01-01T12:00:00Z,"Katendrechtse Lagedijk",Dorpsweg,Rotterdam,,adapted,NL:Q:31000153,"Katendrechtse Lagedijk",regular,available,92075,433927,0,Dorpsweg,Y,,Y,,,langshalte,18.00,,,,true,false,true,false,false,false,0.18,2.10,1.10,0.01,0.80,false,false,false,,,0.00,true,false,L03,true,false,false,false,false,true,true,true,false,0,false,0,false,false,false,,2018-01-08T14:58:08Z,2015-05-03T22:03:34Z,2018-11-28T17:07:16Z
NL:S:31000153,onstreetBus,2018-01-01T12:00:00Z,"Katendrechtse Lagedijk",Dorpsweg,Rotterdam,,adapted,NL:Q:31000158,"Katendrechtse Lagedijk",regular,available,92045,433930,0,Dorpsweg,Y,,Y,,,semi-haltehaven,18.00,3.13,,6.00,false,false,true,false,false,false,0.20,2.50,1.20,12.50,1.20,false,false,false,,,0.00,true,true,L03,true,false,false,false,false,true,true,true,true,2,false,0,false,false,false,,2018-01-08T14:58:08Z,2015-05-03T22:03:34Z,2018-11-28T17:10:48Z
NL:S:31000169,onstreetBus,2018-01-01T12:00:00Z,Herenoord,Bredenoord,Rotterdam,,adapted,NL:Q:31000169,Herenoord,regular,available,97638,432628,0,Bredenoord,Y,,Y,,,langshalte,15.97,,,,true,false,true,false,false,false,0.18,2.78,2.17,0.01,2.17,false,false,false,,,0.00,true,true,L03,true,false,false,false,false,true,true,true,true,2,false,0,false,false,false,,2018-01-08T14:58:10Z,2015-05-03T22:03:34Z,2018-11-28T17:08:23Z
NL:S:31000169,onstreetBus,2018-01-01T12:00:00Z,Herenoord,Herenoord,Rotterdam,,adapted,NL:Q:31000170,Herenoord,regular,available,97621,432631,0,Herenoord,Y,,Y,,,langshalte,22.90,,,,true,false,true,false,false,false,0.18,2.82,2.33,0.01,2.33,false,false,false,,,0.00,true,true,L03,true,false,false,false,false,true,true,true,true,2,false,0,false,false,false,,2018-01-08T14:58:10Z,2015-05-03T22:03:34Z,2018-11-28T17:12:08Z
NL:S:31000179,combiTramBus,2018-01-01T12:00:00Z,Prinsenplein,"Groene tuin",Rotterdam,,adapted,NL:Q:31000179,Prinsenplein,regular,available,97392,433944,0,"Groene tuin",Y,,Y,,,langshalte,18.00,,,,true,false,true,false,false,false,0.18,1.87,1.03,0.01,1.03,false,false,false,,,0.00,true,false,L03,true,false,false,false,false,true,true,true,false,0,false,0,false,false,false,,2018-01-08T14:58:11Z,2015-05-03T22:03:34Z,2018-11-28T17:13:06Z
NL:S:31000179,combiTramBus,2018-01-01T12:00:00Z,Prinsenplein,"Groene tuin",Rotterdam,,adapted,NL:Q:31000180,Prinsenplein,regular,available,97420,433929,0,"Groene tuin",Y,,Y,,,langshalte,15.00,,,,true,false,true,false,false,false,0.18,2.40,2.40,0.01,2.40,false,false,false,,,0.00,true,false,L03,true,false,false,false,false,true,true,true,false,0,false,0,false,false,false,,2018-01-08T14:58:11Z,2015-05-03T22:03:34Z,2018-11-28T17:08:57Z
NL:S:31000179,combiTramBus,2018-01-01T12:00:00Z,Prinsenplein,"Groene tuin",Rotterdam,,adapted,NL:Q:31001382,Prinsenplein,regular,available,97512,433882,0,"Groene tuin",N,Y,,,,langshalte,18.00,,,,false,false,false,false,false,false,0.27,2.05,1.40,18.00,1.40,false,false,true,2.40,2.31,0.20,true,false,L03,true,false,false,false,false,true,true,true,true,1,false,0,false,false,false,,2018-01-08T15:00:12Z,2015-05-03T22:03:34Z,2018-11-28T17:09:24Z
NL:S:31000179,combiTramBus,2018-01-01T12:00:00Z,Prinsenplein,"Groene tuin",Rotterdam,,adapted,NL:Q:31001383,Prinsenplein,regular,available,97503,433898,0,"Groene tuin",N,Y,,,,langshalte,18.00,,,,false,false,false,false,false,false,0.27,2.06,1.40,18.00,1.40,false,false,false,,,0.00,true,false,L03,true,false,false,false,false,true,true,true,true,1,false,0,false,false,false,,2018-01-08T15:00:12Z,2015-05-03T22:03:34Z,2018-11-28T17:13:08Z
NL:S:31000182,combiTramBus,2018-01-01T12:00:00Z,"Antonius IJsselmonde","Groene tuin",Rotterdam,,adapted,NL:Q:31000182,"Antonius IJsselmonde",regular,available,97139,434024,0,"Groene tuin",N,,N,,,langshalte,15.00,,,,true,false,false,false,false,false,0.09,2.30,2.40,0.01,2.30,false,false,false,,,0.00,true,false,L03,false,false,false,false,false,false,false,false,false,0,false,0,false,false,false,,2018-01-08T14:58:11Z,2015-05-03T22:03:34Z,2018-11-28T17:09:14Z
NL:S:31000182,combiTramBus,2018-01-01T12:00:00Z,"Antonius IJsselmonde","Groene tuin",Rotterdam,,adapted,NL:Q:31001381,"Antonius IJsselmonde",regular,available,97108,434052,0,"Groene tuin",N,Y,,,,langshalte,18.00,,,,false,false,false,false,false,false,0.27,2.70,1.40,18.00,1.40,false,false,true,2.10,2.40,0.27,true,false,L03,true,false,false,false,false,true,true,true,true,1,false,0,false,false,false,,2018-01-08T15:00:12Z,2015-05-03T22:03:34Z,2018-11-28T17:09:13Z
NL:S:31000182,combiTramBus,2018-01-01T12:00:00Z,"Antonius IJsselmonde","Groene tuin",Rotterdam,,adapted,NL:Q:31001384,"Antonius IJsselmonde",regular,available,97088,434068,0,"Groene tuin",N,Y,,,,langshalte,18.00,,,,false,false,false,false,false,false,0.27,2.45,1.41,18.00,1.41,false,false,true,3.00,3.10,0.27,true,false,L03,true,false,false,false,false,true,true,true,true,1,false,0,false,false,false,,2018-01-08T15:00:12Z,2015-05-03T22:03:34Z,2018-11-28T17:12:56Z
