stopplacecode,stopplacetype,validfrom,publicname,street,town,stopplaceindication,stopplacestatus,quaycode,quayname,quaytype,quaystatus,rd-x,rd-y,level,location,visuallyaccessible,disabledaccessible-tram,disabledaccessible-bus,disabledaccessible-metro,disabledaccessible-ferry,quayshapetype,baylength,embaymentwidth,bayentranceangles,bayexitangles,markedkerb,lift,guidelines,groundsurfaceindicator,tactilegroundsurfaceindicator,stopplaceaccessroute,kerbheight,boardingpositionwidth,alightingpositionwidth,liftedpartlength,narrowestpassagewidth,fulllengthguideline,guidelinestopplaceconnection,ramp,ramplength,rampwidth,heightwithenvironment,stopsign,audiobutton,stopsigntype,shelter,shelterpublicity,illuminatedstop,seatavailable,leantosupport,timetableinformation,infounit,routenetworkmap,passengerinformationdisplay,passengerinformationdisplaytype,bicycleparking,numberofbicycleplaces,bins,ovccico,ovccharging,remarks,mutationdate,stopplace_mutationdate,quay_mutationdate
NL:S:50000152,onstreetBus,2018-11-28T00:00:00Z,Voorstraat,Voorstraat,Utrecht,,adapted,NL:Q:50000152,Voorstraat,regular,available,136823,456359,0,,N,,N,,,langshalte,0.01,,,,false,false,false,false,false,false,0.01,0.01,0.01,0.01,0.01,false,false,false,,,0.00,false,true,,false,false,false,false,false,false,false,false,true,,false,0,false,false,false,,2018-11-28T10:32:34Z,2015-05-03T22:04:06Z,2018-11-28T10:32:34Z
NL:S:50000160,onstreetBus,2018-11-28T00:00:00Z,Daalsesingel,Catharijnebaan,Utrecht,,adapted,NL:Q:50000160,Daalsesingel,regular,available,136090,456100,0,,N,,N,,,langshalte,0.01,,,,false,false,false,false,false,false,0.01,0.01,0.01,0.01,0.01,false,false,false,,,0.00,false,false,,false,false,false,false,false,false,false,false,false,,false,0,false,false,false,,2018-11-28T10:32:36Z,2015-05-03T22:04:06Z,2018-11-28T10:32:36Z
NL:S:50000160,onstreetBus,2018-11-28T00:00:00Z,Daalsesingel,Catharijnebaan,Utrecht,,adapted,NL:Q:50000190,Daalsesingel,regular,available,136016,456320,0,,N,,N,,,langshalte,0.01,,,,false,false,false,false,false,false,0.01,0.01,0.01,0.01,0.01,false,false,false,,,0.00,false,false,,false,false,false,false,false,false,false,false,false,,false,0,false,false,false,,2018-11-28T10:32:36Z,2015-05-03T22:04:06Z,2018-11-28T10:32:36Z
NL:S:50000250,onstreetBus,2018-11-28T00:00:00Z,"De Lichtkring",Eykmanlaan,Utrecht,,adapted,NL:Q:50000250,"De Lichtkring",regular,available,137781,457747,0,,Y,,Y,,,langshalte,20.00,,,,true,false,true,false,false,false,0.18,3.00,3.00,20.00,1.00,false,false,false,,3.00,0.09,true,false,,true,false,true,true,false,true,true,false,false,,false,0,true,false,false,,2018-11-28T10:29:07Z,2015-05-03T22:04:06Z,2018-11-28T10:29:07Z
NL:S:50000250,onstreetBus,2018-11-28T00:00:00Z,"De Lichtkring",Eykmanlaan,Utrecht,,adapted,NL:Q:50000260,"De Lichtkring",regular,available,137578,457704,0,,Y,,Y,,,langshalte,20.00,,,,true,false,true,false,false,false,0.18,2.40,2.40,20.00,1.00,false,false,false,,2.40,0.09,true,true,,true,false,true,true,false,true,true,false,true,,false,0,true,false,false,,2018-11-28T10:29:08Z,2015-05-03T22:04:06Z,2018-11-28T10:29:08Z
NL:S:50000290,onstreetBus,2018-11-28T00:00:00Z,Eykmanplein,Blauwkapelseweg,Utrecht,,adapted,NL:Q:50000290,Eykmanplein,regular,available,137391,457176,0,,N,,N,,,langshalte,0.01,,,,false,false,false,false,false,false,0.01,0.01,0.01,0.01,0.01,false,false,false,,,0.00,false,false,,false,false,false,false,false,false,false,false,false,,false,0,false,false,false,,2018-11-28T10:29:34Z,2015-05-03T22:04:06Z,2018-11-28T10:29:34Z
NL:S:50000290,onstreetBus,2018-11-28T00:00:00Z,Eykmanplein,Blauwkapelseweg,Utrecht,,adapted,NL:Q:50000300,Eykmanplein,regular,available,137356,457128,0,,N,,N,,,langshalte,0.01,,,,false,false,false,false,false,false,0.01,0.01,0.01,0.01,0.01,false,false,false,,,0.00,false,false,,false,false,false,false,false,false,false,false,true,,false,0,false,false,false,,2018-11-28T10:29:34Z,2015-05-03T22:04:06Z,2018-11-28T10:29:34Z
NL:S:50000330,onstreetBus,2018-11-28T00:00:00Z,Wittevrouwenbrug,Wittevrouwensingel,Utrecht,,adapted,NL:Q:50000330,Wittevrouwenbrug,regular,available,137139,456375,0,,Y,,Y,,,langshalte,12.00,,,,true,false,true,false,false,false,0.18,2.10,2.10,12.00,0.80,false,false,false,,2.10,0.09,true,true,,false,false,true,false,false,true,false,false,true,,false,0,true,false,false,,2018-11-28T10:32:51Z,2015-05-03T22:04:06Z,2018-11-28T10:32:51Z
NL:S:50000330,onstreetBus,2018-11-28T00:00:00Z,Wittevrouwenbrug,Wittevrouwensingel,Utrecht,,adapted,NL:Q:50000340,Wittevrouwenbrug,regular,available,137125,456373,0,,Y,,Y,,,langshalte,18.00,,,,true,false,true,false,false,false,0.18,1.50,1.50,18.00,1.00,false,false,false,,1.20,0.09,true,true,,true,false,true,true,false,true,true,false,true,,false,0,true,false,false,,2018-11-28T10:32:51Z,2015-05-03T22:04:06Z,2018-11-28T10:32:51Z
NL:S:50000350,onstreetBus,2018-11-15T01:00:00Z,Stadsschouwburg,Maliesingel,Utrecht,,adapted,NL:Q:50000351,Stadsschouwburg,temporary,plan,137218,456081,0,,N,,N,,,unknown,0.00,,,,false,false,false,false,false,false,,,,,,false,false,false,,,,false,false,,false,false,false,false,false,false,false,false,false,,false,,false,false,false,,2018-11-20T09:52:51Z,2015-05-03T22:04:06Z,2018-11-20T09:52:50Z
